season,date,regular,playoffs,home,away,whos_favored,spread,home_code_clean,away_code_clean,home_abbr,away_abbr,GAME_ID,GAME_DATE,SEASON_LABEL,SEASON_TYPE,home_team_abbr,home_pts_x,home_reb,home_ast,home_fgm,home_fga_x,home_fg3m_x,home_fg3a_x,home_ftm,home_fta_x,home_tov_x,home_stl,home_blk,home_plus_minus,away_team_abbr,away_pts_x,away_reb,away_ast,away_fgm,away_fga_x,away_fg3m_x,away_fg3a_x,away_ftm,away_fta_x,away_tov_x,away_stl,away_blk,away_plus_minus,home_margin,home_pts_y,home_fga_y,home_fta_y,home_oreb,home_tov_y,home_fg3m_y,home_fg3a_y,away_pts_y,away_fga_y,away_fta_y,away_oreb,away_tov_y,away_fg3m_y,away_fg3a_y,score_home,score_away,spread_home,margin_home,home_win,away_win,ats_margin_home,ats_push,ats_home_cover,covered_home
2018,2017-10-21,True,False,cle,orl,home,-11.5,cle,orl,CLE,ORL,21700028.0,2017-10-21,2018.0,Regular Season,CLE,93.0,44.0,15.0,33.0,86.0,7.0,25.0,20.0,27.0,16.0,4.0,7.0,-21.0,ORL,114.0,50.0,28.0,40.0,90.0,17.0,35.0,17.0,20.0,12.0,7.0,6.0,21.0,-21.0,,,,,,,,,,,,,,,93.0,114.0,-11.5,-21.0,0,1,-32.5,0,0,0
2018,2017-10-22,True,False,bkn,atl,home,-1.0,bkn,atl,BKN,ATL,21700038.0,2017-10-22,2018.0,Regular Season,BKN,116.0,51.0,27.0,41.0,87.0,11.0,27.0,23.0,34.0,18.0,12.0,8.0,12.0,ATL,104.0,48.0,21.0,32.0,94.0,7.0,27.0,33.0,36.0,16.0,6.0,2.0,-12.0,12.0,,,,,,,,,,,,,,,116.0,104.0,-1.0,12.0,1,0,11.0,0,1,1
2018,2017-10-22,True,False,okc,min,home,-4.0,okc,min,OKC,MIN,21700039.0,2017-10-22,2018.0,Regular Season,OKC,113.0,36.0,26.0,46.0,96.0,11.0,31.0,10.0,16.0,11.0,9.0,6.0,-2.0,MIN,115.0,45.0,25.0,43.0,86.0,10.0,25.0,19.0,23.0,18.0,5.0,1.0,2.0,-2.0,,,,,,,,,,,,,,,113.0,115.0,-4.0,-2.0,0,1,-6.0,0,0,0
2018,2017-10-22,True,False,lal,no,away,5.5,lal,no,LAL,NOP,21700040.0,2017-10-22,2018.0,Regular Season,LAL,112.0,38.0,27.0,44.0,90.0,9.0,27.0,15.0,20.0,17.0,7.0,6.0,-7.0,NOP,119.0,42.0,26.0,47.0,83.0,10.0,32.0,15.0,21.0,18.0,14.0,5.0,7.0,-7.0,,,,,,,,,,,,,,,112.0,119.0,5.5,-7.0,0,1,-1.5,0,0,0
2018,2017-10-23,True,False,mia,atl,home,-10.5,mia,atl,MIA,ATL,21700042.0,2017-10-23,2018.0,Regular Season,MIA,104.0,41.0,21.0,39.0,85.0,14.0,37.0,12.0,18.0,19.0,12.0,6.0,11.0,ATL,93.0,41.0,14.0,36.0,76.0,7.0,17.0,14.0,18.0,21.0,9.0,1.0,-11.0,11.0,,,,,,,,,,,,,,,104.0,93.0,-10.5,11.0,1,0,0.5,0,1,1
2018,2017-10-23,True,False,hou,mem,home,-8.0,hou,mem,HOU,MEM,21700043.0,2017-10-23,2018.0,Regular Season,HOU,90.0,39.0,25.0,32.0,77.0,9.0,38.0,17.0,23.0,17.0,5.0,2.0,-8.0,MEM,98.0,38.0,16.0,29.0,68.0,6.0,19.0,34.0,37.0,12.0,5.0,2.0,8.0,-8.0,,,,,,,,,,,,,,,90.0,98.0,-8.0,-8.0,0,1,-16.0,0,0,0
2018,2017-10-23,True,False,mil,cha,home,-6.5,mil,cha,MIL,CHA,21700044.0,2017-10-23,2018.0,Regular Season,MIL,103.0,42.0,24.0,40.0,85.0,9.0,26.0,14.0,16.0,13.0,8.0,4.0,9.0,CHA,94.0,48.0,17.0,33.0,78.0,7.0,26.0,21.0,36.0,14.0,3.0,5.0,-9.0,9.0,,,,,,,,,,,,,,,103.0,94.0,-6.5,9.0,1,0,2.5,0,1,1
2018,2017-10-23,True,False,dal,gs,away,13.5,dal,gs,DAL,GSW,21700045.0,2017-10-23,2018.0,Regular Season,DAL,103.0,42.0,21.0,38.0,96.0,9.0,29.0,18.0,30.0,12.0,11.0,0.0,-30.0,GSW,133.0,50.0,33.0,48.0,86.0,15.0,39.0,22.0,26.0,16.0,6.0,8.0,30.0,-30.0,,,,,,,,,,,,,,,103.0,133.0,13.5,-30.0,0,1,-16.5,0,0,0
2018,2017-10-23,True,False,sa,tor,home,-2.5,sa,tor,SAS,TOR,21700046.0,2017-10-23,2018.0,Regular Season,SAS,101.0,55.0,19.0,40.0,90.0,5.0,20.0,16.0,23.0,20.0,4.0,12.0,4.0,TOR,97.0,34.0,17.0,34.0,80.0,10.0,37.0,19.0,24.0,15.0,11.0,4.0,-4.0,4.0,,,,,,,,,,,,,,,101.0,97.0,-2.5,4.0,1,0,1.5,0,1,1
2018,2017-10-23,True,False,den,wsh,home,-5.0,den,wsh,DEN,WAS,21700047.0,2017-10-23,2018.0,Regular Season,DEN,104.0,44.0,27.0,39.0,80.0,8.0,23.0,18.0,23.0,23.0,5.0,2.0,-5.0,WAS,109.0,38.0,24.0,37.0,84.0,9.0,30.0,26.0,28.0,15.0,13.0,3.0,5.0,-5.0,,,,,,,,,,,,,,,104.0,109.0,-5.0,-5.0,0,1,-10.0,0,0,0
2018,2017-10-23,True,False,phx,sac,away,2.5,phx,sac,PHX,SAC,21700048.0,2017-10-23,2018.0,Regular Season,PHX,117.0,45.0,20.0,42.0,77.0,10.0,30.0,23.0,27.0,20.0,6.0,5.0,2.0,SAC,115.0,37.0,19.0,43.0,99.0,9.0,22.0,20.0,29.0,9.0,13.0,2.0,-2.0,2.0,,,,,,,,,,,,,,,117.0,115.0,2.5,2.0,1,0,4.5,0,1,1
2018,2017-10-23,True,False,det,phi,home,-3.0,det,phi,DET,PHI,21700041.0,2017-10-23,2018.0,Regular Season,DET,86.0,39.0,14.0,33.0,85.0,6.0,30.0,14.0,19.0,14.0,5.0,2.0,-11.0,PHI,97.0,49.0,25.0,35.0,75.0,9.0,24.0,18.0,24.0,21.0,11.0,0.0,11.0,-11.0,,,,,,,,,,,,,,,86.0,97.0,-3.0,-11.0,0,1,-14.0,0,0,0
2018,2017-10-24,True,False,lac,utah,home,-5.0,lac,utah,LAC,UTA,21700054.0,2017-10-24,2018.0,Regular Season,LAC,102.0,44.0,21.0,39.0,83.0,10.0,29.0,14.0,21.0,13.0,12.0,4.0,18.0,UTA,84.0,41.0,20.0,34.0,79.0,7.0,28.0,9.0,11.0,18.0,7.0,7.0,-18.0,18.0,,,,,,,,,,,,,,,102.0,84.0,-5.0,18.0,1,0,13.0,0,1,1
2018,2017-10-24,True,False,por,no,home,-5.0,por,no,POR,NOP,21700053.0,2017-10-24,2018.0,Regular Season,POR,103.0,63.0,17.0,33.0,88.0,10.0,29.0,27.0,33.0,18.0,7.0,7.0,10.0,NOP,93.0,42.0,17.0,30.0,76.0,9.0,30.0,24.0,32.0,17.0,5.0,7.0,-10.0,10.0,,,,,,,,,,,,,,,103.0,93.0,-5.0,10.0,1,0,5.0,0,1,1
2018,2017-10-24,True,False,min,ind,home,-10.5,min,ind,MIN,IND,21700052.0,2017-10-24,2018.0,Regular Season,MIN,107.0,27.0,27.0,42.0,86.0,9.0,24.0,14.0,22.0,14.0,9.0,4.0,-23.0,IND,130.0,42.0,31.0,56.0,84.0,10.0,22.0,8.0,11.0,18.0,8.0,2.0,23.0,-23.0,,,,,,,,,,,,,,,107.0,130.0,-10.5,-23.0,0,1,-33.5,0,0,0
